,0,1,2,3,4,5
0,0,感受最正宗的京城范儿，北京5日玩法,0,天安门广场,116.397633984685,39.9054881306264
1,0,感受最正宗的京城范儿，北京5日玩法,1,故宫,116.3971546,39.9163447
2,0,感受最正宗的京城范儿，北京5日玩法,2,景山公园,116.396841615438,39.9250976057641
3,0,感受最正宗的京城范儿，北京5日玩法,3,什刹海,116.385311,39.941795
4,0,感受最正宗的京城范儿，北京5日玩法,4,天坛,116.412841796875,39.8837051391602
5,0,感受最正宗的京城范儿，北京5日玩法,5,前门大街,116.397983,39.898117
6,0,感受最正宗的京城范儿，北京5日玩法,6,国家大剧院,116.389838,39.90492
7,0,感受最正宗的京城范儿，北京5日玩法,7,西单商业街,116.374572083354,39.9078282559369
8,0,感受最正宗的京城范儿，北京5日玩法,8,明十三陵,116.223556011915,40.255147605593
9,0,感受最正宗的京城范儿，北京5日玩法,9,八达岭长城,116.02001953125,40.3597602844238
10,0,感受最正宗的京城范儿，北京5日玩法,10,奥林匹克公园,116.393096,40.009926
11,0,感受最正宗的京城范儿，北京5日玩法,11,798艺术区,116.495707631111,39.984128115252
12,0,感受最正宗的京城范儿，北京5日玩法,12,三里屯太古里,116.454154480202,39.9342036146057
13,0,感受最正宗的京城范儿，北京5日玩法,13,颐和园,116.275461420417,39.9999815330821
14,0,感受最正宗的京城范儿，北京5日玩法,14,圆明园,116.303579,40.007905
15,0,感受最正宗的京城范儿，北京5日玩法,15,北京大学,116.310868,39.992799
16,0,感受最正宗的京城范儿，北京5日玩法,16,清华大学,116.326788,40.003218
17,1,京郊环山绕水的风景，尽在古北水镇2日游,0,古北水镇,117.277314,40.654264
18,1,京郊环山绕水的风景，尽在古北水镇2日游,1,司马小烧酒坊,117.262622624884,40.645608270382
19,1,京郊环山绕水的风景，尽在古北水镇2日游,2,永顺染坊,117.26233294631,40.6456733946462
20,1,京郊环山绕水的风景，尽在古北水镇2日游,3,震远镖局,117.277004,40.652778
21,1,京郊环山绕水的风景，尽在古北水镇2日游,4,八旗会馆,117.278204,40.6536
22,1,京郊环山绕水的风景，尽在古北水镇2日游,5,司马台长城,117.278759,40.654791
23,2,游荡于紫禁城以北，胡同访古1日游,0,雍和宫,116.417289733887,39.9476699829102
24,2,游荡于紫禁城以北，胡同访古1日游,1,孔庙和国子监博物馆,116.41377,39.946711
25,2,游荡于紫禁城以北，胡同访古1日游,2,五道营胡同,116.416451349854,39.9483875502613
26,2,游荡于紫禁城以北，胡同访古1日游,3,南锣鼓巷,116.403064519166,39.9369853143445
27,2,游荡于紫禁城以北，胡同访古1日游,4,恭王府,116.386487856507,39.9357998889395
28,2,游荡于紫禁城以北，胡同访古1日游,5,什刹海酒吧街,116.390792,39.936204
29,3,沉醉在798，去鸟巢看夜景，文艺北京1日游,0,798艺术区,116.495707631111,39.984128115252
30,3,沉醉在798，去鸟巢看夜景，文艺北京1日游,1,雍和宫,116.417289733887,39.9476699829102
